date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:31:19	8896/8896	---M--	200	added ('OK')	image/png	etag:%2255be2af7-22c0%22	http://target-agriculture.com/static/cms/img/logo-horizontal-50px.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/logo-horizontal-50px.png	(from http://www.target-agriculture.com/)
04:31:19	8151/8151	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202016%2003:26:35%20GMT	http://www.target-agriculture.com/contact/	C:/My%20Web%20Sites/LANRE-CASHEW/www.target-agriculture.com/contact/index.html	(from http://www.target-agriculture.com/)
04:31:19	4769/4769	---M--	200	added ('OK')	image/jpeg	etag:%2255be2af7-12a1%22	http://target-agriculture.com/static/cms/img/home-slider/eu-organic-logo.jpg	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/eu-organic-logo.jpg	(from http://www.target-agriculture.com/)
04:31:20	15242/15242	---M--	200	added ('OK')	image/png	etag:%2255be2af7-3b8a%22	http://target-agriculture.com/static/cms/img/home-slider/JAS-logo.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/JAS-logo.png	(from http://www.target-agriculture.com/)
04:31:21	14627/14627	---M--	200	added ('OK')	image/gif	etag:%2255be2af7-3923%22	http://target-agriculture.com/static/cms/img/home-slider/kosher.gif	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/kosher.gif	(from http://www.target-agriculture.com/)
04:31:22	17817/17817	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202016%2003:26:35%20GMT	http://www.target-agriculture.com/countries/	C:/My%20Web%20Sites/LANRE-CASHEW/www.target-agriculture.com/countries/index.html	(from http://www.target-agriculture.com/)
04:31:22	18540/18540	---M--	200	added ('OK')	image/png	etag:%2255be2af7-486c%22	http://target-agriculture.com/static/cms/img/home-slider/forest_garden.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/forest_garden.png	(from http://www.target-agriculture.com/)
04:31:23	11858/11858	---M--	200	added ('OK')	image/jpeg	etag:%2255be2af7-2e52%22	http://target-agriculture.com/static/cms/img/home-slider/bg/mango.jpg	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/bg/mango.jpg	(from http://www.target-agriculture.com/)
04:31:25	4553/4553	---M--	200	added ('OK')	image/jpeg	etag:%2255be2af7-11c9%22	http://target-agriculture.com/static/cms/img/home-slider/fruit1.jpg	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/fruit1.jpg	(from http://www.target-agriculture.com/)
04:31:28	7082/7082	---M--	200	added ('OK')	image/jpeg	etag:%2255be2af7-1baa%22	http://target-agriculture.com/static/cms/img/home-slider/fruit2.jpg	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/fruit2.jpg	(from http://www.target-agriculture.com/)
04:31:28	60184/60184	---M--	200	added ('OK')	image/jpeg	etag:%2255be2af7-eb18%22	http://target-agriculture.com/static/cms/img/home-slider/mango.jpg	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/mango.jpg	(from http://www.target-agriculture.com/)
04:31:29	7713/7713	---M--	200	added ('OK')	image/jpeg	etag:%2255be2af7-1e21%22	http://target-agriculture.com/static/cms/img/home-slider/fruit3.jpg	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/fruit3.jpg	(from http://www.target-agriculture.com/)
04:31:30	5933/5933	---M--	200	added ('OK')	image/jpeg	etag:%2255be2af7-172d%22	http://target-agriculture.com/static/cms/img/home-slider/fruit5.jpg	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/fruit5.jpg	(from http://www.target-agriculture.com/)
04:31:31	6572/6572	---M--	200	added ('OK')	image/jpeg	etag:%2255be2af7-19ac%22	http://target-agriculture.com/static/cms/img/home-slider/fruit6.jpg	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/fruit6.jpg	(from http://www.target-agriculture.com/)
04:31:31	52892/52892	---M--	200	added ('OK')	image/jpeg	etag:%2255be2af7-ce9c%22	http://target-agriculture.com/static/cms/img/home-slider/cashew.jpg	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/cashew.jpg	(from http://www.target-agriculture.com/)
04:31:31	59841/59841	---M--	200	added ('OK')	image/jpeg	etag:%2255be2af7-e9c1%22	http://target-agriculture.com/static/cms/img/home-slider/pineapple.jpg	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/pineapple.jpg	(from http://www.target-agriculture.com/)
04:31:31	6930/6930	---M--	200	added ('OK')	image/jpeg	etag:%2255be2af7-1b12%22	http://target-agriculture.com/static/cms/img/home-slider/fruit7.jpg	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/fruit7.jpg	(from http://www.target-agriculture.com/)
04:31:32	7410/7410	---M--	200	added ('OK')	image/jpeg	etag:%2255be2af7-1cf2%22	http://target-agriculture.com/static/cms/img/home-slider/fruit9.jpg	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/fruit9.jpg	(from http://www.target-agriculture.com/)
04:31:35	5113/5113	---M--	200	added ('OK')	image/jpeg	etag:%2255be2af7-13f9%22	http://target-agriculture.com/static/cms/img/home-slider/factory2.jpg	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/factory2.jpg	(from http://www.target-agriculture.com/)
04:31:37	5265/5265	---M--	200	added ('OK')	image/jpeg	etag:%2255be2af7-1491%22	http://target-agriculture.com/static/cms/img/home-slider/factory3.jpg	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/img/home-slider/factory3.jpg	(from http://www.target-agriculture.com/)
